BHK,Flat Type,Locality,Area,Furnishing Status,Price
3 BHK,Apartment,Nallagandla Gachibowli,1800,Semi-Furnished,49000
3 BHK,Independent,Kondapur,1800,Furnished,59000
3 BHK,Apartment,Gachibowli,1470,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Kukatpally,2100,Furnished,44000
3 BHK,Apartment,Tellapur,1600,Semi-Furnished,37000
3 BHK,Apartment,Ramachandrapuram,1600,Furnished,47000
3 BHK,Apartment,Kukatpally,1500,Furnished,39000
3 BHK,Apartment,Kukatpally,1600,Furnished,41000
3 BHK,Apartment,Kondapur,1800,Furnished,57000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,44000
2 BHK,Apartment,Nallagandla Gachibowli,1300,Semi-Furnished,36000
2 BHK,Apartment,Kondapur,1100,Semi-Furnished,43000
3 BHK,Apartment,Nanakramguda,2000,Semi-Furnished,50000
3 BHK,Apartment,Abids,1400,Semi-Furnished,29000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,60000
3 BHK,Apartment,Madhapur,3400,Furnished,1.8 L
3 BHK,Independent,Nanakramguda,1700,Furnished,45000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
3 BHK,Apartment,Gachibowli,1410,Semi-Furnished,45000
3 BHK,Apartment,Kondapur,1798,Furnished,60000
3 BHK,Apartment,Madhapur,2595,Furnished,1.3 L
4 BHK,Apartment,Masab Tank,2200,Semi-Furnished,55000
1 BHK,Apartment,Masab Tank,500,Semi-Furnished,15000
3 BHK,Apartment,Kondapur,1550,Semi-Furnished,49000
3 BHK,Apartment,Tellapur,2020,Furnished,44000
2 BHK,Apartment,Kukatpally,1250,Semi-Furnished,42000
3 BHK,Independent,Kukatpally,1750,Semi-Furnished,64000
2 BHK,Apartment,Kukatpally,1450,Semi-Furnished,34000
3 BHK,Apartment,Kukatpally,2000,Furnished,46000
3 BHK,Apartment,Gachibowli,1366,Semi-Furnished,69000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,44000
2 BHK,Apartment,Gachibowli,892,Furnished,44000
3 BHK,Apartment,Manikonda,2100,Semi-Furnished,56000
2 BHK,Apartment,Hyderguda,1050,Semi-Furnished,15000
3 BHK,Apartment,Hyderguda,1350,Semi-Furnished,22000
2 BHK,Apartment,Gachibowli,892,Semi-Furnished,46000
2 BHK,Apartment,Nanakramguda,1250,Furnished,49000
3 BHK,Apartment,Nallagandla Gachibowli,1700,Furnished,44000
3 BHK,Apartment,Nallagandla Gachibowli,1800,Unfurnished,59000
3 BHK,Apartment,Nallakunta,2000,Semi-Furnished,30000
2 BHK,Apartment,Nallagandla Gachibowli,1000,Semi-Furnished,40000
3 BHK,Apartment,Hitech City,1900,Semi-Furnished,55000
3 BHK,Independent,Kondapur,1600,Semi-Furnished,37000
3 BHK,Apartment,Nanakramguda,1880,Semi-Furnished,54000
3 BHK,Apartment,Mokila,2250,Semi-Furnished,34000
3 BHK,Apartment,Kondapur,1700,Furnished,41000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,65000
4 BHK,Independent,Manikonda,2140,Furnished,65002
3 BHK,Apartment,Gachibowli,1742,Furnished,53000
3 BHK,Apartment,Manikonda,1600,Semi-Furnished,44000
3 BHK,Apartment,Kukatpally,1700,Furnished,54000
3 BHK,Apartment,Manikonda,1800,Semi-Furnished,55000
3 BHK,Apartment,Chandanagar,1800,Semi-Furnished,34000
3 BHK,Independent,Miyapur,1840,Semi-Furnished,26000
3 BHK,Apartment,Begumpet,2000,Semi-Furnished,45000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Kondapur,1700,Furnished,45000
3 BHK,Apartment,Tellapur,2020,Furnished,45000
3 BHK,Apartment,Kokapet,2100,Semi-Furnished,55000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Gachibowli,1500,Semi-Furnished,35000
3 BHK,Apartment,Nanakramguda,2200,Semi-Furnished,50000
4 BHK,Apartment,Gachibowli,1993,Semi-Furnished,60000
3 BHK,Apartment,Kukatpally,1450,Semi-Furnished,48000
3 BHK,Apartment,Nanakramguda,2000,Semi-Furnished,50000
3 BHK,Apartment,Kukatpally,1980,Furnished,48000
3 BHK,Apartment,Kondapur,1750,Furnished,28000
3 BHK,Apartment,Hitech City,2000,Semi-Furnished,50000
2 BHK,Apartment,Bachupally,1250,Semi-Furnished,25000
4 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Kukatpally,1450,Semi-Furnished,32000
4 BHK,Apartment,Nallagandla Gachibowli,2200,Semi-Furnished,45000
4 BHK,Apartment,Kondapur,2800,Unfurnished,45000
3 BHK,Apartment,Appa Junction,1350,Semi-Furnished,22000
4 BHK,Villa,Kukatpally,2940,Semi-Furnished,74000
3 BHK,Independent,Hitech City,1800,Furnished,44000
3 BHK,Apartment,Hitech City,1580,Semi-Furnished,48000
3 BHK,Apartment,Nanakramguda,1925,Furnished,70000
3 BHK,Apartment,Tellapur,2000,Furnished,52000
4 BHK,Apartment,Kukatpally,3300,Furnished,1.1 L
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
1 BHK,Apartment,Nallakunta,700,Semi-Furnished,8000
3 BHK,Apartment,Nallakunta,1700,Semi-Furnished,28000
3 BHK,Apartment,Tellapur,1500,Furnished,30000
3 BHK,Apartment,Tarnaka,1350,Semi-Furnished,22000
3 BHK,Apartment,Kondapur,2300,Semi-Furnished,64000
3 BHK,Apartment,Madhapur,3000,Semi-Furnished,80001
3 BHK,Apartment,Madhapur,3000,Semi-Furnished,80000
3 BHK,Independent,raidurgam,1800,Semi-Furnished,44000
3 BHK,Apartment,Hitech City,2050,Semi-Furnished,65001
3 BHK,Apartment,Hitech City,2050,Semi-Furnished,65000
2 BHK,Apartment,Hitech City,1355,Semi-Furnished,42000
3 BHK,Apartment,Hitech City,1738,Semi-Furnished,55001
3 BHK,Apartment,Hitech City,1738,Semi-Furnished,55000
4 BHK,Apartment,Madhapur,4070,Semi-Furnished,2 L
4 BHK,Villa,Serilingampally,6200,Semi-Furnished,3.5 L
4 BHK,Villa,Serilingampally,6200,Semi-Furnished,3.5 L
4 BHK,Villa,Serilingampally,6200,Semi-Furnished,3.5 L
3 BHK,Apartment,Gachibowli,1740,Furnished,65000
4 BHK,Apartment,Hitech City,3100,Semi-Furnished,1.1 L
4 BHK,Apartment,Hitech City,3100,Semi-Furnished,1.1 L
4 BHK,Apartment,Hitech City,3100,Semi-Furnished,1 L
4 BHK,Apartment,Hitech City,3100,Semi-Furnished,1 L
4 BHK,Apartment,Hitech City,3100,Semi-Furnished,1 L
3 BHK,Apartment,Hitech City,1730,Semi-Furnished,64000
3 BHK,Apartment,Kokapet,1800,Semi-Furnished,59000
3 BHK,Apartment,Serilingampally,1500,Semi-Furnished,27000
4 BHK,Apartment,Mallampet,3000,Semi-Furnished,42000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Chandanagar,1500,Furnished,25000
4 BHK,Villa,Bachupally,2000,Semi-Furnished,27000
3 BHK,Apartment,Nizampet,1500,Semi-Furnished,28000
4 BHK,Apartment,Kukatpally,3300,Furnished,1.1 L
2 BHK,Apartment,Gachibowli,1050,Semi-Furnished,24000
3 BHK,Apartment,Gachibowli,1700,Semi-Furnished,48000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
3 BHK,Apartment,Sainikpuri,1750,Semi-Furnished,19250
4 BHK,Villa,Mallampet,2700,Semi-Furnished,25000
3 BHK,Apartment,Gachibowli,1500,Semi-Furnished,49000
4 BHK,Apartment,Manikonda,2140,Furnished,65000
3 BHK,Apartment,Hitech City,2000,Semi-Furnished,50000
4 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
4 BHK,Apartment,Kukatpally,3300,Furnished,1.25
3 BHK,Apartment,Hitech City,1650,Semi-Furnished,49000
4 BHK,Independent,Manikonda,2140,Furnished,65000
3 BHK,Apartment,Hitech City,1945,Semi-Furnished,68000
2 BHK,Apartment,Chandanagar,1265,Semi-Furnished,28000
3 BHK,Apartment,Tellapur,2970,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,1650,Semi-Furnished,45000
4 BHK,Apartment,Mallampet,3000,Semi-Furnished,42000
3 BHK,Apartment,Manikonda,1650,Semi-Furnished,55000
3 BHK,Apartment,Kokapet,2160,Furnished,55000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,1580,Semi-Furnished,48000
3 BHK,Apartment,Tellapur,2200,Semi-Furnished,45000
2 BHK,Apartment,Kukatpally,1450,Semi-Furnished,43000
3 BHK,Apartment,Hitech City,1650,Semi-Furnished,44000
3 BHK,Apartment,Kokapet,1515,Semi-Furnished,35000
3 BHK,Apartment,Hitech City,2100,Furnished,70000
3 BHK,Apartment,Gachibowli,2200,Semi-Furnished,60000
4 BHK,Apartment,Narsingi,4000,Semi-Furnished,80000
3 BHK,Apartment,Kukatpally,2000,Semi-Furnished,62000
3 BHK,Apartment,Kondapur,2400,Furnished,75000
3 BHK,Apartment,Tellapur,1900,Semi-Furnished,44000
4 BHK,Apartment,Madhapur,3300,Furnished,1.25
3 BHK,Apartment,Bachupally,1800,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1300,Furnished,42000
3 BHK,Apartment,Serilingampally,1700,Furnished,36000
3 BHK,Apartment,Nallagandla Gachibowli,1560,Semi-Furnished,47000
3 BHK,Apartment,Hitech City,1750,Semi-Furnished,50000
3 BHK,Apartment,Kondapur,1900,Semi-Furnished,30000
3 BHK,Apartment,Nanakramguda,2600,Semi-Furnished,55000
3 BHK,Apartment,Kokapet,2160,Furnished,65000
2 BHK,Apartment,Manikonda,1580,Semi-Furnished,27000
3 BHK,Apartment,Sanath Nagar,1600,Semi-Furnished,44000
3 BHK,Apartment,Hitech City,1580,Semi-Furnished,47000
3 BHK,Apartment,Tellapur,2000,Furnished,54000
3 BHK,Apartment,Tellapur,2000,Furnished,52000
3 BHK,Apartment,Shaikpet,1892,Furnished,54000
4 BHK,Villa,Bowenpally,2000,Semi-Furnished,35000
3 BHK,Villa,Vattinagulapally,1980,Semi-Furnished,24000
2 BHK,Apartment,Madhapur,1600,Furnished,38000
3 BHK,Apartment,Nallakunta,2000,Semi-Furnished,30000
3 BHK,Apartment,Himayat Nagar,1800,Semi-Furnished,30000
3 BHK,Apartment,Jubilee Hills,2000,Semi-Furnished,45000
2 BHK,Independent,Jubilee Hills,1250,Furnished,35000
2 BHK,Apartment,Jubilee Hills,1250,Semi-Furnished,25000
3 BHK,Apartment,Ramachandrapuram,1760,Furnished,48000
3 BHK,Apartment,Nanakramguda,2680,Semi-Furnished,75000
2 BHK,Independent,Serilingampally,1000,Semi-Furnished,25000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55002
3 BHK,Apartment,Hitech City,2330,Furnished,75000
3 BHK,Apartment,Gachibowli,1100,Semi-Furnished,45001
3 BHK,Apartment,Nallagandla Gachibowli,1850,Semi-Furnished,50000
2 BHK,Apartment,Nallagandla Gachibowli,1100,Semi-Furnished,38000
2 BHK,Apartment,Gachibowli,1492,Furnished,70000
4 BHK,Apartment,Madhapur,3000,Semi-Furnished,1 L
3 BHK,Apartment,Jubilee Hills,2400,Semi-Furnished,60000
3 BHK,Apartment,Jubilee Hills,2260,Semi-Furnished,50000
3 BHK,Independent,Jubilee Hills,3000,Semi-Furnished,1 L
3 BHK,Villa,Vattinagulapally,1980,Semi-Furnished,22000
2 BHK,Apartment,Madhapur,1150,Semi-Furnished,28000
3 BHK,Apartment,Gachibowli,1800,Semi-Furnished,38000
3 BHK,Apartment,Madhapur,1850,Semi-Furnished,40000
3 BHK,Apartment,Miyapur,1400,Furnished,30000
3 BHK,Villa,Miyapur,2626,Semi-Furnished,28000
3 BHK,Apartment,Kondapur,1550,Semi-Furnished,17000
3 BHK,Villa,Gopanpally,1980,Semi-Furnished,40000
2 BHK,Apartment,Jubilee Hills,1500,Furnished,36000
2 BHK,Apartment,Madhapur,1100,Semi-Furnished,28000
1 BHK,Apartment,Jubilee Hills,650,Semi-Furnished,11000
3 BHK,Apartment,Banjara Hills,3500,Furnished,80000
3 BHK,Apartment,Banjara Hills,2000,Semi-Furnished,45000
3 BHK,Apartment,Banjara Hills,2200,Semi-Furnished,60000
3 BHK,Apartment,Jubilee Hills,4000,Furnished,1.2 L
3 BHK,Apartment,Jubilee Hills,2200,Semi-Furnished,55000
3 BHK,Apartment,Jubilee Hills,2000,Semi-Furnished,70000
3 BHK,Apartment,Banjara Hills,2200,Semi-Furnished,45000
3 BHK,Apartment,Banjara Hills,2600,Furnished,75000
3 BHK,Apartment,Banjara Hills,2500,Furnished,45000
3 BHK,Apartment,Jubilee Hills,1800,Semi-Furnished,45000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,60000
3 BHK,Apartment,Banjara Hills,2000,Furnished,52000
3 BHK,Apartment,Banjara Hills,2600,Semi-Furnished,65000
3 BHK,Apartment,Banjara Hills,2600,Semi-Furnished,60000
4 BHK,Apartment,Banjara Hills,2800,Semi-Furnished,80000
3 BHK,Apartment,Banjara Hills,2800,Furnished,90000
2 BHK,Apartment,Jubilee Hills,1200,Semi-Furnished,25000
2 BHK,Apartment,Jubilee Hills,1200,Semi-Furnished,25000
3 BHK,Apartment,Banjara Hills,2500,Furnished,65000
3 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,45000
2 BHK,Apartment,Jubilee Hills,1200,Semi-Furnished,25000
3 BHK,Apartment,Kondapur,1400,Semi-Furnished,55000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,1 L
2 BHK,Apartment,Jubilee Hills,1010,Semi-Furnished,25000
3 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,55000
3 BHK,Apartment,Jubilee Hills,2500,Furnished,45000
3 BHK,Apartment,Jubilee Hills,1800,Semi-Furnished,40000
3 BHK,Apartment,Banjara Hills,2200,Semi-Furnished,60000
3 BHK,Apartment,Jubilee Hills,2300,Semi-Furnished,45000
2 BHK,Apartment,Jubilee Hills,1200,Semi-Furnished,25000
2 BHK,Apartment,Sainikpuri,1200,Semi-Furnished,24000
3 BHK,Apartment,Banjara Hills,2500,Furnished,75000
4 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,1 L
2 BHK,Apartment,Jubilee Hills,1100,Semi-Furnished,25000
3 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,50000
3 BHK,Apartment,Banjara Hills,2450,Furnished,90000
3 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,55000
3 BHK,Apartment,Banjara Hills,2300,Semi-Furnished,50000
3 BHK,Apartment,Banjara Hills,2000,Furnished,45000
3 BHK,Apartment,Banjara Hills,2600,Semi-Furnished,42000
3 BHK,Apartment,Banjara Hills,3400,Semi-Furnished,1.3 L
3 BHK,Apartment,Jubilee Hills,2500,Furnished,60000
3 BHK,Apartment,Banjara Hills,3000,Semi-Furnished,1.1 L
3 BHK,Apartment,Jubilee Hills,1800,Semi-Furnished,25000
4 BHK,Villa,Nanakramguda,5000,Semi-Furnished,2.5 L
4 BHK,Apartment,Madhapur,4070,Semi-Furnished,1.6 L
4 BHK,Apartment,Gachibowli,5000,Semi-Furnished,1.1 L
3 BHK,Apartment,Jubilee Hills,2500,Semi-Furnished,60000
3 BHK,Apartment,Banjara Hills,2200,Furnished,80000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,85000
3 BHK,Apartment,Banjara Hills,2500,Semi-Furnished,45000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,70000
3 BHK,Apartment,Banjara Hills,1900,Semi-Furnished,50000
3 BHK,Apartment,Jubilee Hills,2800,Semi-Furnished,75000
3 BHK,Apartment,Banjara Hills,2500,Furnished,70000
1 BHK,Apartment,Jubilee Hills,550,Semi-Furnished,12000
3 BHK,Apartment,Jubilee Hills,3000,Furnished,65000
2 BHK,Apartment,Jubilee Hills,1700,Semi-Furnished,22000
5 BHK,Apartment,Banjara Hills,5000,Semi-Furnished,1.7 L
2 BHK,Apartment,Jubilee Hills,1250,Semi-Furnished,25000
4 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,80000
3 BHK,Apartment,Banjara Hills,1700,Semi-Furnished,45000
2 BHK,Apartment,Jubilee Hills,1200,Semi-Furnished,25000
,RK,Jubilee Hills,700,Semi-Furnished,12000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,50000
3 BHK,Apartment,Jubilee Hills,3000,Semi-Furnished,1 L
3 BHK,Apartment,Jubilee Hills,1500,Semi-Furnished,45000
2 BHK,Apartment,Banjara Hills,1200,Furnished,45000
3 BHK,Apartment,Banjara Hills,1500,Semi-Furnished,75000
5 BHK,Villa,Kompally,5000,Furnished,90000
2 BHK,Apartment,Bolarum,850,Semi-Furnished,21000
4 BHK,Villa,Jubilee Hills,4000,Furnished,1.3 L
3 BHK,Villa,Banjara Hills,3000,Semi-Furnished,81000
3 BHK,Apartment,Banjara Hills,3200,Semi-Furnished,50000
3 BHK,Apartment,Banjara Hills,1800,Semi-Furnished,45000
2 BHK,Apartment,Jubilee Hills,1000,Semi-Furnished,18000
2 BHK,Apartment,Jubilee Hills,1050,Unfurnished,25000
2 BHK,Apartment,Banjara Hills,1350,Semi-Furnished,28000
2 BHK,Apartment,Jubilee Hills,1050,Semi-Furnished,20000
2 BHK,Apartment,Jubilee Hills,1050,Semi-Furnished,18000
2 BHK,Apartment,Jubilee Hills,1050,Semi-Furnished,30000
2 BHK,Apartment,Saroornagar,900,Unfurnished,16000
2 BHK,Apartment,Banjara Hills,1500,Semi-Furnished,30000
3 BHK,Apartment,Jubilee Hills,3300,Semi-Furnished,65000
2 BHK,Apartment,Jubilee Hills,1000,Semi-Furnished,18000
2 BHK,Apartment,Somajiguda,1100,Semi-Furnished,23000
3 BHK,Apartment,Banjara Hills,3000,Semi-Furnished,70000
3 BHK,Apartment,Banjara Hills,1600,Semi-Furnished,30000
2 BHK,Apartment,Jubilee Hills,1100,Semi-Furnished,22000
3 BHK,Apartment,Jubilee Hills,1800,Semi-Furnished,40000
3 BHK,Apartment,Banjara Hills,2100,Semi-Furnished,50000
2 BHK,Apartment,Saroornagar,1000,Semi-Furnished,20000
1 BHK,Independent,Jubilee Hills,550,Semi-Furnished,13000
2 BHK,Apartment,Punjagutta,1254,Semi-Furnished,25000
2 BHK,Apartment,Jubilee Hills,1000,Furnished,28000
3 BHK,Apartment,Jubilee Hills,2300,Semi-Furnished,45000
3 BHK,Apartment,Jubilee Hills,1800,Furnished,35000
3 BHK,Apartment,Banjara Hills,2300,Furnished,45000
,RK,Jubilee Hills,600,Furnished,25000
4 BHK,Independent,Jubilee Hills,5800,Furnished,3.5 L
2 BHK,Apartment,Tarnaka,1100,Semi-Furnished,15000
,RK,Ameerpet,410,Unfurnished,5500
,RK,Ameerpet,450,Unfurnished,5000
1 BHK,Independent,Ameerpet,612,Unfurnished,7800
1 BHK,Apartment,Sanath Nagar,650,Unfurnished,8000
2 BHK,Apartment,Sanath Nagar,1250,Semi-Furnished,16000
2 BHK,Apartment,Sanath Nagar,1250,Unfurnished,13500
,RK,Sanjeeva Reddy,450,Unfurnished,5500
1 BHK,Apartment,Yousufguda,642,Semi-Furnished,7600
1 BHK,Apartment,Ameerpet,650,Semi-Furnished,9500
1 BHK,Apartment,Sanjeeva Reddy,650,Semi-Furnished,8000
2 BHK,Apartment,Yousufguda,1087,Semi-Furnished,14000
2 BHK,Apartment,Sanjeeva Reddy,1150,Furnished,16000
2 BHK,Apartment,Ameerpet,1250,Unfurnished,16000
2 BHK,Apartment,Madhapur,1100,Semi-Furnished,27000
2 BHK,Apartment,Jubilee Hills,1000,Semi-Furnished,18000
4 BHK,Apartment,Nizampet,2600,Semi-Furnished,40000
3 BHK,Apartment,Manikonda,1580,Semi-Furnished,50000
1 BHK,Independent,Nagole,680,Unfurnished,7500
2 BHK,Independent,Puppalaguda,1700,Semi-Furnished,28200
,RK,Kapra,550,Semi-Furnished,20000
1 BHK,Independent,Whisper Valley,1200,Semi-Furnished,22000
3 BHK,Apartment,Banjara Hills,2450,Furnished,65000
,RK,BHEL,800,Unfurnished,8800
,RK,Hakimpet Hyderabad,450,Semi-Furnished,7700
,RK,Hakimpet Hyderabad,450,Semi-Furnished,7700
1 BHK,Independent,Qutub Shahi,1300,Unfurnished,19000
2 BHK,Apartment,Kondapur,1152,Unfurnished,15000
3 BHK,Apartment,Boduppal,1100,Unfurnished,10000
1 BHK,Independent,Qutub Shahi,1300,Unfurnished,19000
1 BHK,Apartment,Punjagutta,950,Furnished,22000
4 BHK,Villa,Tellapur,3000,Semi-Furnished,50000
2 BHK,Apartment,Madhapur,1200,Semi-Furnished,25000
2 BHK,Independent,LB Nagar,1100,Unfurnished,15000
2 BHK,Independent,LB Nagar,1200,Unfurnished,15000
2 BHK,Independent,LB Nagar,1100,Unfurnished,15000
0 BHK,Independent,West Marredpally,8000,Semi-Furnished,1.5 L
1 BHK,Independent,Bandlaguda Jagir,1100,Unfurnished,15000
2 BHK,Apartment,Kondapur,1152,Semi-Furnished,23000
1 BHK,Independent,Balanagar,500,Unfurnished,5600
3 BHK,Independent,Shaikpet,3200,Semi-Furnished,37000
2 BHK,Independent,Bachupally,1200,Semi-Furnished,26000
2 BHK,Apartment,Ramachandra Puram,1200,Semi-Furnished,22000
2 BHK,Apartment,Upparpally,1000,Semi-Furnished,20000
2 BHK,Apartment,Masab Tank,1250,Unfurnished,19100
2 BHK,Apartment,Pragathi Nagar,1200,Semi-Furnished,17400
1 BHK,Apartment,Nizampet,1200,Semi-Furnished,17400
1 BHK,Apartment,Kukatpally,1200,Furnished,30000
,RK,Madhapur,700,Unfurnished,11300
1 BHK,Apartment,Masab Tank,1250,Unfurnished,19100
,RK,Hafeezpet,700,Unfurnished,12500
,RK,Hafeezpet,700,Unfurnished,12500
1 BHK,Independent,Bapu Nagar,600,Semi-Furnished,6600
1 BHK,Apartment,Kukatpally,1200,Semi-Furnished,26000
1 BHK,Independent,Bapu Nagar,600,Semi-Furnished,6600
1 BHK,Apartment,Kukatpally,1200,Semi-Furnished,26000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
2 BHK,Apartment,Masab Tank,1250,Unfurnished,19100
3 BHK,Apartment,Kukatpally,4500,Semi-Furnished,67100
,RK,Ramachandra Puram,700,Unfurnished,9500
1 BHK,Apartment,Hafeezpet,350,Unfurnished,7700
,RK,Kukatpally,600,Unfurnished,13200
1 BHK,Independent,Bolarum,1000,Unfurnished,11000
1 BHK,Independent,Bolarum,1000,Unfurnished,11000
3 BHK,Apartment,Kukatpally,1450,Furnished,46000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
2 BHK,Apartment,Narsingi,1800,Semi-Furnished,38500
,RK,Toli Chowki,1000,Semi-Furnished,15300
,RK,Madhapur,700,Unfurnished,11300
,RK,Hafeezpet,800,Unfurnished,12300
1 BHK,Apartment,Kukatpally,300,Furnished,16000
1 BHK,Apartment,Kukatpally,300,Furnished,16000
1 BHK,Apartment,Kondapur,1100,Semi-Furnished,23500
,RK,Hafeezpet,500,Semi-Furnished,15000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
1 BHK,Independent,Gachibowli,1500,Semi-Furnished,33000
,RK,Hafeezpet,500,Semi-Furnished,15500
,RK,Hafeezpet,800,Unfurnished,12300
1 BHK,Apartment,Kukatpally,300,Furnished,16000
,RK,Hafeezpet,500,Semi-Furnished,14500
1 BHK,Apartment,Toli Chowki,1300,Semi-Furnished,18500
2 BHK,Apartment,Kukatpally,1400,Furnished,48400
1 BHK,Apartment,Kondapur,1100,Semi-Furnished,23500
3 BHK,Apartment,Jubilee Hills,2500,Semi-Furnished,70000
2 BHK,Apartment,Shanthi Nagar,1000,Semi-Furnished,19000
2 BHK,Apartment,Nagaram,1200,Semi-Furnished,28000
3 BHK,Apartment,LB Nagar,1600,Semi-Furnished,25000
